date,close
2025-08-05,74.00000
2025-08-04,74.00000
2025-08-01,74.00000
2025-07-31,74.00000
2025-07-30,74.19000
2025-07-29,74.10000
2025-07-28,75.00000
2025-07-25,74.50000
2025-07-24,73.99000
2025-07-23,75.40000
2025-07-22,74.90000
2025-07-21,75.41000
2025-07-18,75.21000
2025-07-17,75.60000
2025-07-16,75.80000
2025-07-15,75.31000
2025-07-14,76.39000
2025-07-11,75.40000
2025-07-10,76.40000
2025-07-08,75.99000
2025-07-07,74.40000
2025-07-04,74.80000
2025-07-03,74.51000
2025-07-02,74.90000
2025-07-01,74.40000
2025-06-30,74.25000
2025-06-27,74.75000
2025-06-26,75.30000
2025-06-25,74.60000
2025-06-24,74.25000
2025-06-23,74.79000
2025-06-19,74.50000
2025-06-18,75.20000
2025-06-17,74.90000
2025-06-13,74.78000
2025-06-12,74.30000
2025-06-11,74.50000
2025-06-10,74.24000
2025-06-09,74.49000
2025-06-06,74.00000
2025-06-05,74.40000
2025-06-04,74.62000
2025-06-03,74.89000
2025-06-02,75.60000
2025-05-30,75.60000
2025-05-29,74.90000
2025-05-28,75.23000
2025-05-27,74.92000
2025-05-26,76.38000
2025-05-23,75.60000
2025-05-22,75.99000
2025-05-21,75.99000
2025-05-20,74.82000
2025-05-19,75.60000
2025-05-16,75.63000
2025-05-15,75.00000
2025-05-14,75.00000
2025-05-13,75.50000
2025-05-12,74.55000
2025-05-09,73.35000
2025-05-08,73.50000
2025-05-07,73.50000
2025-05-06,73.00000
2025-05-05,73.65000
2025-04-30,75.00000
2025-04-29,74.90000
2025-04-28,73.70000
2025-04-25,73.31000
2025-04-24,73.11000
2025-04-23,74.00000
2025-04-22,73.25000
2025-04-21,72.10000
2025-04-16,72.80000
2025-04-15,72.25000
2025-04-14,74.40000
2025-04-11,73.50000
2025-04-10,73.40000
2025-04-09,77.50000
2025-04-08,75.36000
2025-04-07,90.60000
2025-04-04,90.59000
2025-04-03,90.70000
2025-04-01,90.40000
2025-03-31,90.15000
2025-03-28,90.30000
2025-03-27,91.05000
2025-03-26,90.65000
2025-03-25,91.15000
2025-03-21,90.67000
2025-03-20,90.40000
2025-03-19,90.96000
2025-03-18,90.75000
2025-03-17,90.55000
2025-03-14,90.80000
2025-03-13,90.00000
2025-03-12,90.00000
2025-03-11,90.40000
2025-03-10,91.11000
2025-03-07,91.10000
2025-03-06,91.00000
2025-03-05,91.39000
2025-02-28,90.30000
2025-02-27,91.30000
2025-02-26,91.40000
2025-02-25,92.13000
2025-02-24,91.26000
2025-02-21,91.34000
2025-02-20,92.00000
2025-02-19,91.77000
2025-02-18,91.80000
2025-02-17,90.85000
2025-02-14,92.00000
2025-02-13,92.70000
2025-02-12,92.00000
2025-02-11,91.75000
2025-02-10,91.74000
2025-02-07,92.08000
2025-02-06,91.50000
2025-02-05,92.65000
2025-02-04,92.80000
2025-02-03,92.80000
2025-01-31,91.50000
2025-01-30,92.00000
2025-01-29,91.97000
2025-01-28,92.50000
2025-01-27,90.80000
2025-01-24,92.72000
2025-01-23,91.00000
2025-01-22,90.75000
2025-01-21,90.53000
2025-01-20,90.89000
2025-01-17,91.01000
2025-01-16,90.50000
2025-01-15,90.40000
2025-01-14,90.87000
2025-01-13,91.30000
2025-01-10,91.30000
2025-01-09,90.92000
2025-01-08,90.50000
2025-01-07,90.80000
2025-01-06,90.67000
2025-01-03,90.34000
2025-01-02,90.33000
2024-12-30,90.50000
2024-12-27,89.99000
2024-12-26,89.50000
2024-12-24,89.99000
2024-12-23,89.02000
2024-12-20,89.99000
2024-12-19,90.25000
2024-12-18,89.50000
2024-12-17,91.00000
2024-12-16,91.00000
2024-12-13,90.30000
2024-12-12,89.75000
2024-12-11,91.00000
2024-12-10,90.50000
2024-12-09,91.20000
2024-12-06,92.50000
2024-12-05,92.00000
2024-12-04,91.30000
2024-12-03,91.65000
2024-12-02,92.00000
2024-11-29,92.40000
2024-11-28,92.30000
2024-11-27,92.85000
2024-11-26,92.20000
2024-11-25,92.40000
2024-11-22,92.20000
2024-11-21,92.25000
2024-11-20,92.25000
2024-11-19,93.90000
2024-11-15,93.90000
2024-11-14,93.25000
2024-11-13,92.70000
2024-11-12,92.00000
2024-11-11,93.00000
2024-11-08,92.50000
2024-11-07,91.05000
2024-11-06,93.00000
2024-11-05,93.00000
2024-11-04,91.01000
2024-11-01,91.30000
2024-10-31,91.80000
2024-10-30,92.00000
2024-10-29,91.99000
2024-10-28,91.78000
2024-10-25,91.51000
2024-10-24,91.25000
2024-10-23,92.50000
2024-10-22,85.73000
2024-10-21,91.00000
2024-10-18,90.85000
2024-10-17,91.81000
2024-10-16,90.12000
2024-10-15,91.80000
2024-10-14,93.00000
2024-10-10,94.40000
2024-10-09,93.20000
2024-10-08,92.25000
